country,role,variable_group,variable_name,priority,target_frequency,preferred_source,fallback_source,status,model_use,notes
SOUTH_KOREA,consumer_industrial,inflation,korea_cpi,medium,monthly,KOSIS,FRED,to_add,demand_macro,CPI
SOUTH_KOREA,consumer_industrial,interest_rate,bok_policy_rate,high,monthly,BOK,,to_add,global_financial,Base rate
SOUTH_KOREA,consumer_industrial,bond_yield,korea_10y_yield,medium,monthly,BOK,,to_add,global_financial,Government bond yield
SOUTH_KOREA,consumer_industrial,industrial_activity,korea_industrial_production,high,monthly,KOSIS,FRED,to_add,copper_demand,Industrial activity
SOUTH_KOREA,consumer_industrial,exports,korea_exports,high,monthly,KCS,KOSIS,to_add,leading_demand,Export cycle
SOUTH_KOREA,consumer_industrial,semiconductors,korea_semiconductor_exports,medium,monthly,KCS,KOSIS,to_add,leading_demand,Electronics cycle

CHILE,producer,fx,usd_clp,high,monthly,BCCh,FRED,to_add,copper_supply,Producer currency
CHILE,producer,inflation,chile_cpi,medium,monthly,BCCh,FRED,to_add,cost_macro,CPI
CHILE,producer,interest_rate,chile_policy_rate,medium,monthly,BCCh,,to_add,cost_macro,Monetary conditions
CHILE,producer,copper_supply,chile_copper_production,high,annual,COCHILCO,,existing,copper_supply,Copper production
CHILE,producer,labor,chile_mining_wage_index,high,annual,COCHILCO,,existing,cost_driver,Mining labor
CHILE,producer,energy,chile_mining_energy,high,annual,COCHILCO,,existing,cost_driver,Mining energy
CHILE,producer,ore_grade,chile_copper_ore_grade,high,annual,COCHILCO,,existing,cost_driver,Ore grade

PERU,producer,fx,usd_pen,high,monthly,BCRP,,existing,copper_supply,Producer currency
PERU,producer,inflation,peru_cpi,medium,monthly,BCRP,,to_add,cost_macro,CPI
PERU,producer,interest_rate,peru_policy_rate,medium,monthly,BCRP,,to_add,cost_macro,Policy rate
PERU,producer,copper_supply,peru_copper_production,high,annual,BCRP,MINEM,existing,copper_supply,Copper production
PERU,producer,labor,peru_formal_private_income,medium,monthly,BCRP,,existing,cost_driver,General formal labor income proxy
PERU,producer,energy,peru_diesel_price_index,high,monthly,BCRP,,existing,cost_driver,Mining fuel proxy
PERU,producer,electricity,peru_industrial_electricity_tariff_index,high,monthly,BCRP,,existing,cost_driver,Electricity cost proxy

INDONESIA,producer_refiner,fx,usd_idr,high,monthly,Bank Indonesia,FRED,to_add,copper_supply,Producer currency
INDONESIA,producer_refiner,inflation,indonesia_cpi,medium,monthly,BPS,FRED,to_add,cost_macro,CPI
INDONESIA,producer_refiner,interest_rate,indonesia_policy_rate,medium,monthly,Bank Indonesia,,to_add,cost_macro,Policy rate
INDONESIA,producer_refiner,industrial_activity,indonesia_industrial_production,medium,monthly,BPS,FRED,to_add,demand_macro,Industrial activity
INDONESIA,producer_refiner,copper_supply,indonesia_copper_production,high,annual,USGS,Government,to_add,copper_supply,Copper mine production

DRC,producer,fx,usd_cdf,medium,monthly,Central Bank DRC,IMF,to_add,copper_supply,Only if reliable history exists
DRC,producer,inflation,drc_cpi,medium,monthly,Central Bank DRC,IMF,to_add,cost_macro,Only if reliable history exists
DRC,producer,copper_supply,drc_copper_production,high,annual,USGS,Government,to_add,copper_supply,Major mine supply
